Kategori: Alla kategorier

Dag;bitcoin: (Över hela världen)
2023-11-17;27
2023-11-18;26
2023-11-19;24
2023-11-20;29
2023-11-21;28
2023-11-22;28
2023-11-23;26
2023-11-24;27
2023-11-25;25
2023-11-26;23
2023-11-27;25
2023-11-28;26
2023-11-29;25
2023-11-30;25
2023-12-01;27
2023-12-02;28
2023-12-03;30
2023-12-04;50
2023-12-05;48
2023-12-06;46
2023-12-07;38
2023-12-08;38
2023-12-09;33
2023-12-10;31
2023-12-11;39
2023-12-12;32
2023-12-13;33
2023-12-14;32
2023-12-15;29
2023-12-16;29
2023-12-17;27
2023-12-18;30
2023-12-19;31
2023-12-20;33
2023-12-21;31
2023-12-22;32
2023-12-23;29
2023-12-24;28
2023-12-25;29
2023-12-26;31
2023-12-27;31
2023-12-28;31
2023-12-29;30
2023-12-30;27
2023-12-31;26
2024-01-01;28
2024-01-02;45
2024-01-03;49
2024-01-04;40
2024-01-05;41
2024-01-06;34
2024-01-07;33
2024-01-08;44
2024-01-09;51
2024-01-10;80
2024-01-11;87
2024-01-12;52
2024-01-13;42
2024-01-14;38
2024-01-15;37
2024-01-16;35
2024-01-17;31
2024-01-18;33
2024-01-19;31
2024-01-20;29
2024-01-21;27
2024-01-22;33
2024-01-23;36
2024-01-24;31
2024-01-25;29
2024-01-26;28
2024-01-27;24
2024-01-28;23
2024-01-29;27
2024-01-30;27
2024-01-31;25
2024-02-01;24
2024-02-02;25
2024-02-03;23
2024-02-04;23
2024-02-05;24
2024-02-06;23
2024-02-07;23
2024-02-08;29
2024-02-09;35
2024-02-10;28
2024-02-11;30
2024-02-12;39
2024-02-13;42
2024-02-14;45
2024-02-15;44
2024-02-16;36
2024-02-17;32
2024-02-18;30
2024-02-19;33
2024-02-20;33
2024-02-21;31
2024-02-22;30
2024-02-23;28
2024-02-24;26
2024-02-25;26
2024-02-26;36
2024-02-27;58
2024-02-28;89
2024-02-29;80
2024-03-01;60
2024-03-02;48
2024-03-03;45
2024-03-04;82
2024-03-05;100
2024-03-06;74
2024-03-07;58
2024-03-08;58
2024-03-09;50
2024-03-10;51
2024-03-11;75
2024-03-12;66
2024-03-13;64
2024-03-14;59
2024-03-15;64
2024-03-16;49
2024-03-17;49
2024-03-18;49
2024-03-19;61
2024-03-20;56
2024-03-21;49
2024-03-22;45
2024-03-23;38
2024-03-24;38
2024-03-25;49
2024-03-26;47
2024-03-27;44
2024-03-28;42
2024-03-29;43
2024-03-30;35
2024-03-31;36
2024-04-01;39
2024-04-02;49
2024-04-03;42
2024-04-04;40
2024-04-05;38
2024-04-06;32
2024-04-07;33
2024-04-08;43
2024-04-09;39
2024-04-10;38
2024-04-11;40
2024-04-12;42
2024-04-13;51
2024-04-14;59
2024-04-15;50
2024-04-16;47
2024-04-17;45
2024-04-18;51
2024-04-19;75
2024-04-20;70
2024-04-21;40
2024-04-22;42
2024-04-23;36
2024-04-24;35
2024-04-25;34
2024-04-26;31
2024-04-27;28
2024-04-28;27
2024-04-29;31
2024-04-30;36
2024-05-01;45
2024-05-02;37
2024-05-03;35
2024-05-04;30
2024-05-05;28
2024-05-06;31
2024-05-07;29
2024-05-08;29
2024-05-09;26
2024-05-10;28
2024-05-11;25
2024-05-12;25
2024-05-13;29
2024-05-14;27
2024-05-15;30
2024-05-16;31
2024-05-17;30
2024-05-18;27
2024-05-19;25
2024-05-20;32
2024-05-21;39
2024-05-22;33
2024-05-23;32
2024-05-24;30
2024-05-25;25
2024-05-26;26
2024-05-27;28
2024-05-28;28
2024-05-29;26
2024-05-30;27
2024-05-31;24
2024-06-01;22
2024-06-02;23
2024-06-03;26
2024-06-04;28
2024-06-05;31
2024-06-06;28
2024-06-07;29
2024-06-08;25
2024-06-09;23
2024-06-10;26
2024-06-11;29
2024-06-12;30
2024-06-13;27
2024-06-14;27
2024-06-15;23
2024-06-16;23
2024-06-17;25
2024-06-18;28
2024-06-19;26
2024-06-20;25
2024-06-21;25
2024-06-22;21
2024-06-23;22
2024-06-24;33
2024-06-25;28
2024-06-26;25
2024-06-27;24
2024-06-28;24
2024-06-29;21
2024-06-30;21
2024-07-01;25
2024-07-02;23
2024-07-03;26
2024-07-04;33
2024-07-05;43
2024-07-06;27
2024-07-07;26
2024-07-08;31
2024-07-09;27
2024-07-10;27
2024-07-11;30
2024-07-12;29
2024-07-13;23
2024-07-14;30
2024-07-15;32
2024-07-16;35
2024-07-17;31
