Category: All categories

Day;ALGO: (Worldwide)
2023-03-23;95
2023-03-24;87
2023-03-25;88
2023-03-26;88
2023-03-27;92
2023-03-28;97
2023-03-29;93
2023-03-30;93
2023-03-31;90
2023-04-01;79
2023-04-02;87
2023-04-03;83
2023-04-04;85
2023-04-05;86
2023-04-06;81
2023-04-07;81
2023-04-08;82
2023-04-09;83
2023-04-10;95
2023-04-11;91
2023-04-12;93
2023-04-13;91
2023-04-14;93
2023-04-15;86
2023-04-16;87
2023-04-17;93
2023-04-18;91
2023-04-19;93
2023-04-20;96
2023-04-21;96
2023-04-22;86
2023-04-23;97
2023-04-24;94
2023-04-25;95
2023-04-26;96
2023-04-27;100
2023-04-28;95
2023-04-29;87
2023-04-30;80
2023-05-01;94
2023-05-02;96
2023-05-03;96
2023-05-04;93
2023-05-05;91
2023-05-06;87
2023-05-07;87
2023-05-08;95
2023-05-09;94
2023-05-10;94
2023-05-11;97
2023-05-12;88
2023-05-13;80
2023-05-14;85
2023-05-15;90
2023-05-16;92
2023-05-17;94
2023-05-18;95
2023-05-19;92
2023-05-20;82
2023-05-21;83
2023-05-22;93
2023-05-23;97
2023-05-24;91
2023-05-25;94
2023-05-26;89
2023-05-27;90
2023-05-28;94
2023-05-29;94
2023-05-30;95
2023-05-31;94
2023-06-01;98
2023-06-02;92
2023-06-03;89
2023-06-04;95
2023-06-05;96
2023-06-06;98
2023-06-07;98
2023-06-08;90
2023-06-09;91
2023-06-10;86
2023-06-11;85
2023-06-12;91
2023-06-13;91
2023-06-14;94
2023-06-15;93
2023-06-16;90
2023-06-17;85
2023-06-18;84
2023-06-19;84
2023-06-20;92
2023-06-21;91
2023-06-22;92
2023-06-23;91
2023-06-24;89
2023-06-25;85
2023-06-26;88
2023-06-27;91
2023-06-28;91
2023-06-29;93
2023-06-30;88
2023-07-01;88
2023-07-02;86
2023-07-03;85
2023-07-04;87
2023-07-05;87
2023-07-06;94
2023-07-07;86
2023-07-08;87
2023-07-09;80
2023-07-10;84
2023-07-11;84
2023-07-12;85
2023-07-13;82
2023-07-14;83
2023-07-15;77
2023-07-16;81
2023-07-17;81
2023-07-18;83
2023-07-19;87
2023-07-20;83
2023-07-21;83
2023-07-22;80
2023-07-23;75
2023-07-24;82
2023-07-25;83
2023-07-26;81
2023-07-27;78
2023-07-28;83
2023-07-29;77
2023-07-30;76
2023-07-31;79
2023-08-01;79
2023-08-02;82
2023-08-03;80
2023-08-04;82
2023-08-05;74
2023-08-06;80
2023-08-07;81
2023-08-08;85
2023-08-09;84
2023-08-10;85
2023-08-11;89
2023-08-12;78
2023-08-13;78
2023-08-14;84
2023-08-15;82
2023-08-16;87
2023-08-17;86
2023-08-18;91
2023-08-19;81
2023-08-20;79
2023-08-21;88
2023-08-22;88
2023-08-23;88
2023-08-24;86
2023-08-25;83
2023-08-26;79
2023-08-27;81
2023-08-28;88
2023-08-29;89
2023-08-30;89
2023-08-31;89
2023-09-01;87
2023-09-02;81
2023-09-03;82
2023-09-04;85
2023-09-05;89
2023-09-06;85
2023-09-07;90
2023-09-08;88
2023-09-09;78
2023-09-10;80
2023-09-11;86
2023-09-12;88
2023-09-13;90
2023-09-14;87
2023-09-15;89
2023-09-16;81
2023-09-17;81
2023-09-18;88
2023-09-19;88
2023-09-20;91
2023-09-21;90
2023-09-22;89
2023-09-23;85
2023-09-24;86
2023-09-25;89
2023-09-26;91
2023-09-27;90
2023-09-28;87
2023-09-29;86
2023-09-30;82
2023-10-01;83
2023-10-02;86
2023-10-03;89
2023-10-04;91
2023-10-05;92
2023-10-06;85
2023-10-07;76
2023-10-08;81
2023-10-09;86
2023-10-10;87
2023-10-11;88
2023-10-12;81
2023-10-13;82
2023-10-14;85
2023-10-15;80
2023-10-16;84
2023-10-17;91
2023-10-18;92
2023-10-19;90
2023-10-20;89
2023-10-21;78
2023-10-22;85
2023-10-23;86
2023-10-24;96
2023-10-25;97
2023-10-26;89
2023-10-27;84
2023-10-28;79
2023-10-29;76
2023-10-30;86
2023-10-31;90
2023-11-01;80
2023-11-02;79
2023-11-03;82
2023-11-04;73
2023-11-05;81
2023-11-06;83
2023-11-07;92
2023-11-08;91
2023-11-09;90
2023-11-10;92
2023-11-11;82
2023-11-12;82
2023-11-13;86
2023-11-14;86
2023-11-15;95
2023-11-16;88
2023-11-17;94
2023-11-18;85
2023-11-19;80
2023-11-20;81
2023-11-21;89
2023-11-22;89
2023-11-23;90
