Category: All categories

Day;tether: (Worldwide)
2023-03-23;81
2023-03-24;81
2023-03-25;73
2023-03-26;77
2023-03-27;72
2023-03-28;67
2023-03-29;71
2023-03-30;72
2023-03-31;72
2023-04-01;82
2023-04-02;68
2023-04-03;68
2023-04-04;70
2023-04-05;74
2023-04-06;70
2023-04-07;70
2023-04-08;68
2023-04-09;70
2023-04-10;68
2023-04-11;77
2023-04-12;70
2023-04-13;72
2023-04-14;71
2023-04-15;71
2023-04-16;78
2023-04-17;71
2023-04-18;72
2023-04-19;84
2023-04-20;80
2023-04-21;79
2023-04-22;82
2023-04-23;81
2023-04-24;80
2023-04-25;75
2023-04-26;74
2023-04-27;68
2023-04-28;70
2023-04-29;63
2023-04-30;64
2023-05-01;72
2023-05-02;65
2023-05-03;73
2023-05-04;73
2023-05-05;69
2023-05-06;69
2023-05-07;67
2023-05-08;76
2023-05-09;74
2023-05-10;78
2023-05-11;81
2023-05-12;81
2023-05-13;73
2023-05-14;79
2023-05-15;75
2023-05-16;69
2023-05-17;76
2023-05-18;84
2023-05-19;75
2023-05-20;61
2023-05-21;67
2023-05-22;71
2023-05-23;68
2023-05-24;72
2023-05-25;70
2023-05-26;76
2023-05-27;70
2023-05-28;76
2023-05-29;75
2023-05-30;80
2023-05-31;81
2023-06-01;78
2023-06-02;73
2023-06-03;81
2023-06-04;89
2023-06-05;85
2023-06-06;81
2023-06-07;82
2023-06-08;78
2023-06-09;68
2023-06-10;78
2023-06-11;84
2023-06-12;81
2023-06-13;70
2023-06-14;76
2023-06-15;97
2023-06-16;83
2023-06-17;78
2023-06-18;74
2023-06-19;73
2023-06-20;90
2023-06-21;86
2023-06-22;100
2023-06-23;85
2023-06-24;77
2023-06-25;81
2023-06-26;75
2023-06-27;79
2023-06-28;73
2023-06-29;76
2023-06-30;74
2023-07-01;71
2023-07-02;82
2023-07-03;73
2023-07-04;67
2023-07-05;71
2023-07-06;71
2023-07-07;77
2023-07-08;66
2023-07-09;72
2023-07-10;75
2023-07-11;72
2023-07-12;76
2023-07-13;79
2023-07-14;79
2023-07-15;76
2023-07-16;75
2023-07-17;75
2023-07-18;79
2023-07-19;76
2023-07-20;67
2023-07-21;75
2023-07-22;74
2023-07-23;77
2023-07-24;75
2023-07-25;73
2023-07-26;71
2023-07-27;72
2023-07-28;72
2023-07-29;74
2023-07-30;68
2023-07-31;79
2023-08-01;74
2023-08-02;75
2023-08-03;82
2023-08-04;79
2023-08-05;74
2023-08-06;76
2023-08-07;82
2023-08-08;71
2023-08-09;78
2023-08-10;70
2023-08-11;81
2023-08-12;74
2023-08-13;62
2023-08-14;79
2023-08-15;77
2023-08-16;79
2023-08-17;78
2023-08-18;77
2023-08-19;69
2023-08-20;73
2023-08-21;74
2023-08-22;72
2023-08-23;72
2023-08-24;81
2023-08-25;75
2023-08-26;71
2023-08-27;73
2023-08-28;73
2023-08-29;74
2023-08-30;73
2023-08-31;75
2023-09-01;64
2023-09-02;67
2023-09-03;70
2023-09-04;73
2023-09-05;69
2023-09-06;75
2023-09-07;73
2023-09-08;68
2023-09-09;72
2023-09-10;68
2023-09-11;68
2023-09-12;68
2023-09-13;71
2023-09-14;71
2023-09-15;70
2023-09-16;64
2023-09-17;65
2023-09-18;66
2023-09-19;70
2023-09-20;69
2023-09-21;76
2023-09-22;81
2023-09-23;71
2023-09-24;80
2023-09-25;83
2023-09-26;73
2023-09-27;76
2023-09-28;70
2023-09-29;68
2023-09-30;72
2023-10-01;72
2023-10-02;70
2023-10-03;73
2023-10-04;64
2023-10-05;61
2023-10-06;73
2023-10-07;69
2023-10-08;61
2023-10-09;67
2023-10-10;70
2023-10-11;69
2023-10-12;74
2023-10-13;71
2023-10-14;69
2023-10-15;78
2023-10-16;74
2023-10-17;71
2023-10-18;69
2023-10-19;81
2023-10-20;75
2023-10-21;74
2023-10-22;73
2023-10-23;77
2023-10-24;77
2023-10-25;73
2023-10-26;82
2023-10-27;78
2023-10-28;82
2023-10-29;92
2023-10-30;70
2023-10-31;80
2023-11-01;74
2023-11-02;79
2023-11-03;71
2023-11-04;73
2023-11-05;75
2023-11-06;76
2023-11-07;77
2023-11-08;73
2023-11-09;81
2023-11-10;79
2023-11-11;76
2023-11-12;74
2023-11-13;76
2023-11-14;72
2023-11-15;76
2023-11-16;80
2023-11-17;81
2023-11-18;77
2023-11-19;72
2023-11-20;89
2023-11-21;93
2023-11-22;90
2023-11-23;77
