Category: All categories

Day;algorand: (Worldwide)
2023-03-23;56
2023-03-24;46
2023-03-25;40
2023-03-26;45
2023-03-27;50
2023-03-28;58
2023-03-29;66
2023-03-30;53
2023-03-31;58
2023-04-01;32
2023-04-02;42
2023-04-03;41
2023-04-04;48
2023-04-05;48
2023-04-06;45
2023-04-07;41
2023-04-08;43
2023-04-09;43
2023-04-10;46
2023-04-11;49
2023-04-12;45
2023-04-13;53
2023-04-14;58
2023-04-15;36
2023-04-16;37
2023-04-17;85
2023-04-18;95
2023-04-19;68
2023-04-20;70
2023-04-21;53
2023-04-22;44
2023-04-23;37
2023-04-24;38
2023-04-25;47
2023-04-26;42
2023-04-27;43
2023-04-28;47
2023-04-29;36
2023-04-30;31
2023-05-01;38
2023-05-02;40
2023-05-03;47
2023-05-04;34
2023-05-05;38
2023-05-06;31
2023-05-07;30
2023-05-08;53
2023-05-09;36
2023-05-10;39
2023-05-11;36
2023-05-12;32
2023-05-13;30
2023-05-14;26
2023-05-15;28
2023-05-16;25
2023-05-17;29
2023-05-18;34
2023-05-19;28
2023-05-20;27
2023-05-21;30
2023-05-22;32
2023-05-23;29
2023-05-24;32
2023-05-25;41
2023-05-26;41
2023-05-27;38
2023-05-28;32
2023-05-29;36
2023-05-30;32
2023-05-31;40
2023-06-01;53
2023-06-02;41
2023-06-03;35
2023-06-04;33
2023-06-05;48
2023-06-06;55
2023-06-07;59
2023-06-08;66
2023-06-09;47
2023-06-10;58
2023-06-11;48
2023-06-12;40
2023-06-13;36
2023-06-14;38
2023-06-15;38
2023-06-16;59
2023-06-17;50
2023-06-18;38
2023-06-19;45
2023-06-20;41
2023-06-21;52
2023-06-22;52
2023-06-23;59
2023-06-24;43
2023-06-25;41
2023-06-26;47
2023-06-27;52
2023-06-28;52
2023-06-29;35
2023-06-30;51
2023-07-01;38
2023-07-02;44
2023-07-03;47
2023-07-04;42
2023-07-05;46
2023-07-06;44
2023-07-07;42
2023-07-08;39
2023-07-09;37
2023-07-10;48
2023-07-11;69
2023-07-12;65
2023-07-13;100
2023-07-14;65
2023-07-15;48
2023-07-16;61
2023-07-17;52
2023-07-18;47
2023-07-19;47
2023-07-20;41
2023-07-21;40
2023-07-22;34
2023-07-23;36
2023-07-24;40
2023-07-25;42
2023-07-26;42
2023-07-27;35
2023-07-28;43
2023-07-29;38
2023-07-30;41
2023-07-31;49
2023-08-01;38
2023-08-02;43
2023-08-03;38
2023-08-04;35
2023-08-05;26
2023-08-06;37
2023-08-07;44
2023-08-08;45
2023-08-09;39
2023-08-10;39
2023-08-11;33
2023-08-12;33
2023-08-13;30
2023-08-14;36
2023-08-15;31
2023-08-16;33
2023-08-17;38
2023-08-18;39
2023-08-19;32
2023-08-20;32
2023-08-21;35
2023-08-22;36
2023-08-23;30
2023-08-24;44
2023-08-25;35
2023-08-26;24
2023-08-27;27
2023-08-28;40
2023-08-29;36
2023-08-30;31
2023-08-31;33
2023-09-01;27
2023-09-02;25
2023-09-03;31
2023-09-04;29
2023-09-05;31
2023-09-06;26
2023-09-07;25
2023-09-08;22
2023-09-09;23
2023-09-10;23
2023-09-11;27
2023-09-12;28
2023-09-13;33
2023-09-14;37
2023-09-15;26
2023-09-16;28
2023-09-17;24
2023-09-18;26
2023-09-19;32
2023-09-20;31
2023-09-21;36
2023-09-22;35
2023-09-23;33
2023-09-24;29
2023-09-25;32
2023-09-26;26
2023-09-27;35
2023-09-28;30
2023-09-29;25
2023-09-30;30
2023-10-01;26
2023-10-02;35
2023-10-03;24
2023-10-04;29
2023-10-05;34
2023-10-06;30
2023-10-07;31
2023-10-08;26
2023-10-09;27
2023-10-10;31
2023-10-11;29
2023-10-12;31
2023-10-13;27
2023-10-14;28
2023-10-15;25
2023-10-16;29
2023-10-17;36
2023-10-18;28
2023-10-19;30
2023-10-20;31
2023-10-21;21
2023-10-22;26
2023-10-23;36
2023-10-24;49
2023-10-25;39
2023-10-26;34
2023-10-27;32
2023-10-28;27
2023-10-29;31
2023-10-30;39
2023-10-31;44
2023-11-01;40
2023-11-02;41
2023-11-03;36
2023-11-04;32
2023-11-05;58
2023-11-06;57
2023-11-07;37
2023-11-08;39
2023-11-09;48
2023-11-10;46
2023-11-11;58
2023-11-12;62
2023-11-13;46
2023-11-14;49
2023-11-15;51
2023-11-16;56
2023-11-17;43
2023-11-18;39
2023-11-19;38
2023-11-20;47
2023-11-21;36
2023-11-22;34
2023-11-23;32
