Category: All categories

Day;SHIB: (Worldwide)
2023-11-17;6
2023-11-18;6
2023-11-19;6
2023-11-20;6
2023-11-21;5
2023-11-22;6
2023-11-23;6
2023-11-24;6
2023-11-25;6
2023-11-26;6
2023-11-27;5
2023-11-28;5
2023-11-29;6
2023-11-30;6
2023-12-01;5
2023-12-02;6
2023-12-03;8
2023-12-04;9
2023-12-05;10
2023-12-06;13
2023-12-07;10
2023-12-08;11
2023-12-09;11
2023-12-10;9
2023-12-11;8
2023-12-12;9
2023-12-13;8
2023-12-14;10
2023-12-15;11
2023-12-16;11
2023-12-17;14
2023-12-18;10
2023-12-19;10
2023-12-20;9
2023-12-21;9
2023-12-22;10
2023-12-23;12
2023-12-24;11
2023-12-25;11
2023-12-26;9
2023-12-27;10
2023-12-28;9
2023-12-29;9
2023-12-30;8
2023-12-31;8
2024-01-01;7
2024-01-02;11
2024-01-03;8
2024-01-04;8
2024-01-05;7
2024-01-06;8
2024-01-07;9
2024-01-08;8
2024-01-09;8
2024-01-10;8
2024-01-11;10
2024-01-12;8
2024-01-13;8
2024-01-14;8
2024-01-15;7
2024-01-16;8
2024-01-17;6
2024-01-18;7
2024-01-19;6
2024-01-20;7
2024-01-21;7
2024-01-22;6
2024-01-23;7
2024-01-24;6
2024-01-25;6
2024-01-26;6
2024-01-27;7
2024-01-28;6
2024-01-29;5
2024-01-30;6
2024-01-31;6
2024-02-01;5
2024-02-02;6
2024-02-03;6
2024-02-04;5
2024-02-05;5
2024-02-06;5
2024-02-07;6
2024-02-08;7
2024-02-09;6
2024-02-10;6
2024-02-11;7
2024-02-12;7
2024-02-13;7
2024-02-14;8
2024-02-15;9
2024-02-16;7
2024-02-17;7
2024-02-18;6
2024-02-19;7
2024-02-20;7
2024-02-21;6
2024-02-22;7
2024-02-23;6
2024-02-24;7
2024-02-25;7
2024-02-26;9
2024-02-27;13
2024-02-28;16
2024-02-29;23
2024-03-01;20
2024-03-02;59
2024-03-03;31
2024-03-04;72
2024-03-05;100
2024-03-06;44
2024-03-07;34
2024-03-08;42
2024-03-09;30
2024-03-10;24
2024-03-11;27
2024-03-12;23
2024-03-13;20
2024-03-14;19
2024-03-15;17
2024-03-16;18
2024-03-17;16
2024-03-18;15
2024-03-19;14
2024-03-20;13
2024-03-21;14
2024-03-22;10
2024-03-23;11
2024-03-24;12
2024-03-25;14
2024-03-26;13
2024-03-27;14
2024-03-28;16
2024-03-29;14
2024-03-30;12
2024-03-31;11
2024-04-01;11
2024-04-02;11
2024-04-03;10
2024-04-04;11
2024-04-05;9
2024-04-06;9
2024-04-07;12
2024-04-08;11
2024-04-09;10
2024-04-10;9
2024-04-11;10
2024-04-12;11
2024-04-13;10
2024-04-14;9
2024-04-15;8
2024-04-16;8
2024-04-17;9
2024-04-18;7
2024-04-19;9
2024-04-20;12
2024-04-21;12
2024-04-22;10
2024-04-23;8
2024-04-24;9
2024-04-25;8
2024-04-26;6
2024-04-27;7
2024-04-28;6
2024-04-29;6
2024-04-30;6
2024-05-01;7
2024-05-02;7
2024-05-03;7
2024-05-04;7
2024-05-05;6
2024-05-06;7
2024-05-07;6
2024-05-08;5
2024-05-09;6
2024-05-10;5
2024-05-11;5
2024-05-12;6
2024-05-13;7
2024-05-14;6
2024-05-15;7
2024-05-16;8
2024-05-17;7
2024-05-18;7
2024-05-19;7
2024-05-20;9
2024-05-21;11
2024-05-22;9
2024-05-23;8
2024-05-24;7
2024-05-25;9
2024-05-26;9
2024-05-27;10
2024-05-28;11
2024-05-29;14
2024-05-30;10
2024-05-31;9
2024-06-01;8
2024-06-02;8
2024-06-03;7
2024-06-04;9
2024-06-05;10
2024-06-06;9
2024-06-07;9
2024-06-08;8
2024-06-09;7
2024-06-10;8
2024-06-11;7
2024-06-12;8
2024-06-13;8
2024-06-14;9
2024-06-15;8
2024-06-16;7
2024-06-17;9
2024-06-18;9
2024-06-19;8
2024-06-20;8
2024-06-21;8
2024-06-22;10
2024-06-23;9
2024-06-24;9
2024-06-25;8
2024-06-26;7
2024-06-27;8
2024-06-28;8
2024-06-29;8
2024-06-30;7
2024-07-01;7
2024-07-02;7
2024-07-03;8
2024-07-04;7
2024-07-05;7
2024-07-06;6
2024-07-07;6
2024-07-08;6
2024-07-09;5
2024-07-10;6
2024-07-11;5
2024-07-12;5
2024-07-13;5
2024-07-14;5
2024-07-15;6
2024-07-16;7
2024-07-17;6
