Category: All categories

Day;ETH: (Worldwide)
2023-11-17;18
2023-11-18;17
2023-11-19;17
2023-11-20;19
2023-11-21;20
2023-11-22;22
2023-11-23;20
2023-11-24;21
2023-11-25;17
2023-11-26;18
2023-11-27;18
2023-11-28;21
2023-11-29;19
2023-11-30;20
2023-12-01;22
2023-12-02;20
2023-12-03;20
2023-12-04;34
2023-12-05;29
2023-12-06;26
2023-12-07;26
2023-12-08;29
2023-12-09;23
2023-12-10;22
2023-12-11;23
2023-12-12;22
2023-12-13;21
2023-12-14;22
2023-12-15;22
2023-12-16;20
2023-12-17;19
2023-12-18;23
2023-12-19;20
2023-12-20;21
2023-12-21;22
2023-12-22;23
2023-12-23;19
2023-12-24;20
2023-12-25;20
2023-12-26;17
2023-12-27;21
2023-12-28;23
2023-12-29;22
2023-12-30;18
2023-12-31;18
2024-01-01;18
2024-01-02;26
2024-01-03;24
2024-01-04;21
2024-01-05;22
2024-01-06;18
2024-01-07;20
2024-01-08;22
2024-01-09;24
2024-01-10;34
2024-01-11;46
2024-01-12;34
2024-01-13;22
2024-01-14;23
2024-01-15;22
2024-01-16;22
2024-01-17;22
2024-01-18;21
2024-01-19;22
2024-01-20;20
2024-01-21;19
2024-01-22;19
2024-01-23;22
2024-01-24;20
2024-01-25;20
2024-01-26;21
2024-01-27;18
2024-01-28;18
2024-01-29;20
2024-01-30;26
2024-01-31;22
2024-02-01;20
2024-02-02;19
2024-02-03;19
2024-02-04;19
2024-02-05;21
2024-02-06;23
2024-02-07;25
2024-02-08;24
2024-02-09;25
2024-02-10;21
2024-02-11;24
2024-02-12;27
2024-02-13;28
2024-02-14;32
2024-02-15;31
2024-02-16;27
2024-02-17;24
2024-02-18;23
2024-02-19;35
2024-02-20;34
2024-02-21;32
2024-02-22;32
2024-02-23;26
2024-02-24;25
2024-02-25;30
2024-02-26;38
2024-02-27;48
2024-02-28;60
2024-02-29;57
2024-03-01;43
2024-03-02;34
2024-03-03;35
2024-03-04;55
2024-03-05;65
2024-03-06;57
2024-03-07;47
2024-03-08;51
2024-03-09;40
2024-03-10;39
2024-03-11;59
2024-03-12;50
2024-03-13;54
2024-03-14;44
2024-03-15;42
2024-03-16;32
2024-03-17;31
2024-03-18;34
2024-03-19;42
2024-03-20;42
2024-03-21;34
2024-03-22;30
2024-03-23;26
2024-03-24;29
2024-03-25;34
2024-03-26;33
2024-03-27;32
2024-03-28;31
2024-03-29;29
2024-03-30;25
2024-03-31;30
2024-04-01;25
2024-04-02;28
2024-04-03;26
2024-04-04;25
2024-04-05;26
2024-04-06;21
2024-04-07;23
2024-04-08;32
2024-04-09;27
2024-04-10;26
2024-04-11;25
2024-04-12;27
2024-04-13;28
2024-04-14;30
2024-04-15;29
2024-04-16;25
2024-04-17;26
2024-04-18;24
2024-04-19;26
2024-04-20;25
2024-04-21;21
2024-04-22;23
2024-04-23;23
2024-04-24;22
2024-04-25;22
2024-04-26;22
2024-04-27;21
2024-04-28;23
2024-04-29;22
2024-04-30;25
2024-05-01;24
2024-05-02;22
2024-05-03;22
2024-05-04;20
2024-05-05;19
2024-05-06;22
2024-05-07;21
2024-05-08;22
2024-05-09;19
2024-05-10;21
2024-05-11;17
2024-05-12;17
2024-05-13;19
2024-05-14;20
2024-05-15;22
2024-05-16;21
2024-05-17;19
2024-05-18;21
2024-05-19;18
2024-05-20;33
2024-05-21;62
2024-05-22;47
2024-05-23;100
2024-05-24;57
2024-05-25;28
2024-05-26;30
2024-05-27;37
2024-05-28;30
2024-05-29;27
2024-05-30;27
2024-05-31;25
2024-06-01;21
2024-06-02;19
2024-06-03;25
2024-06-04;24
2024-06-05;26
2024-06-06;29
2024-06-07;27
2024-06-08;20
2024-06-09;19
2024-06-10;24
2024-06-11;24
2024-06-12;24
2024-06-13;23
2024-06-14;23
2024-06-15;21
2024-06-16;20
2024-06-17;23
2024-06-18;23
2024-06-19;23
2024-06-20;22
2024-06-21;21
2024-06-22;18
2024-06-23;19
2024-06-24;22
2024-06-25;21
2024-06-26;20
2024-06-27;20
2024-06-28;20
2024-06-29;16
2024-06-30;17
2024-07-01;20
2024-07-02;20
2024-07-03;21
2024-07-04;23
2024-07-05;26
2024-07-06;18
2024-07-07;19
2024-07-08;23
2024-07-09;21
2024-07-10;23
2024-07-11;22
2024-07-12;19
2024-07-13;18
2024-07-14;19
2024-07-15;26
2024-07-16;25
2024-07-17;25
